codice;denominazione;numero_linee;ubicazione;quartiere;zona_di_prossimita;geo_point
37;PORTA CASTIGLIONE;4;PORTA CASTIGLIONE 14;Santo Stefano;OSSERVANZA - PADERNO;44.485117, 11.349012
38;PORTA SAN MAMOLO;1;VIALE ALDINI FR 2/F;Porto - Saragozza;MALPIGHI;44.48703, 11.338261
41;PARCHEGGIO STAVECO;1;VIALE PANZACCHI 10;Santo Stefano;OSSERVANZA - PADERNO;44.485667, 11.345023
42;ALDINI;1;VIALE ALDINI 19;Porto - Saragozza;MALPIGHI;44.48856, 11.334298
43;PORTA SAN MAMOLO;1;VIALE PANZACCHI FR 25;Santo Stefano;OSSERVANZA - PADERNO;44.48613, 11.340853
44;PORTA SARAGOZZA - VILLA C;1;VIALE ALDINI FR 228;Porto - Saragozza;MALPIGHI;44.490099, 11.330385
45;PETRARCA;1;VIALE ALDINI 118;Santo Stefano;OSSERVANZA - PADERNO;44.487674, 11.335834
46;PORTA SARAGOZZA - LICEO R;3;VIALE PEPOLI FR 56;Porto - Saragozza;MALPIGHI;44.492182, 11.329336
47;PORTA SARAGOZZA - VILLA C;1;VIALE ALDINI 232;Santo Stefano;OSSERVANZA - PADERNO;44.489732, 11.330257
49;ALDINI;1;VIALE ALDINI 190;Santo Stefano;OSSERVANZA - PADERNO;44.488574, 11.333607
50;PORTA SANT`ISAIA;9;VIALE VICINI FR 6;Porto - Saragozza;MALPIGHI;44.495534, 11.328287
51;PORTA SARAGOZZA - LICEO R;2;VIALE PEPOLI 20;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.491528, 11.329184
52;PORTA SAN FELICE;14;VIALE SILVANI 3;Porto - Saragozza;MARCONI;44.499814, 11.328118
53;PORTA SANT`ISAIA;2;VIALE PEPOLI 74;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.493468, 11.328494
54;PORTA LAME;2;VIALE SILVANI 11/E;Porto - Saragozza;MARCONI;44.50176, 11.331994
57;PORTA SANT`ISAIA;8;VIALE VICINI 6/2;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.495334, 11.327952
59;VICINI;1;VIALE VICINI 28;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.496548, 11.327548
61;PORTA SAN FELICE;9;VIALE VICINI FR 21;Porto - Saragozza;SAFFI;44.498414, 11.326993
65;SILVANI;2;VIALE SILVANI 6;Porto - Saragozza;SAFFI;44.500544, 11.328952
67;PORTA LAME;14;VIALE PIETRAMELLARA 2;Porto - Saragozza;SAFFI;44.502941, 11.333702
100;PIAZZA MAGGIORE;2;PIAZZA RE ENZO 1/3/B;Santo Stefano;GALVANI;44.494373, 11.343674
104;RIZZOLI;5;VIA RIZZOLI 26/A;Santo Stefano;IRNERIO;44.494572, 11.344952
105;RIZZOLI;6;VIA RIZZOLI 5/B;Santo Stefano;GALVANI;44.494455, 11.344922
108;PIAZZA MAGGIORE;4;PIAZZA MAGGIORE 3/E;Santo Stefano;GALVANI;44.49359, 11.34368
109;RIZZOLI;4;VIA RIZZOLI 7/H;Santo Stefano;GALVANI;44.494298, 11.345998
111;STRADA MAGGIORE;6;STRADA MAGGIORE 29;Santo Stefano;GALVANI;44.492707, 11.35026
112;PIAZZA GALVANI;2;PIAZZA GALVANI 5;Santo Stefano;GALVANI;44.492149, 11.34327
113;GARGANELLI;1;VIA GUERRAZZI 21;Santo Stefano;GALVANI;44.490555, 11.35074
114;PIAZZA GALVANI;3;PIAZZA GALVANI FR5;Santo Stefano;GALVANI;44.492057, 11.343355
117;TORLEONE;6;STRADA MAGGIORE 51/E;Santo Stefano;GALVANI;44.490889, 11.355042
201;PIAZZA ALDROVANDI;1;PIAZZA ALDROVANDI 2;Santo Stefano;IRNERIO;44.492849, 11.351662
202;DUE TORRI;7;VIA SAN VITALE 20;Santo Stefano;IRNERIO;44.49453, 11.347843
203;PIAZZA ALDROVANDI - DUE T;1;PIAZZA ALDROVANDI FR.21;Santo Stefano;IRNERIO;44.493899, 11.351855
204;SAN VITALE;7;VIA SAN VITALE 50;Santo Stefano;IRNERIO;44.494313, 11.350979
206;PORTA SAN VITALE;6;VIA SAN VITALE 108;Santo Stefano;IRNERIO;44.494115, 11.355335
208;PIAZZA DI PORTA RAVEGNANA;2;PIAZZA DI PORTA RAVEGNANA 2C;Santo Stefano;IRNERIO;44.494455, 11.346696
